운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,위도,경도
환경부(한국자동차환경협회),kbs 부산방송총국,1,DC차데모+AC3상+DC콤보,부산광역시,수영구,부산광역시 수영구 수영로 429,제한없음,35.14480577,129.1075946
환경부(한국자동차환경협회),kbs 부산방송총국,11,DC콤보,부산광역시,수영구,부산광역시 수영구 수영로 429,제한없음,35.14480577,129.1075946
환경부(한국자동차환경협회),kbs 부산방송총국,12,DC콤보,부산광역시,수영구,부산광역시 수영구 수영로 429,제한없음,35.14480577,129.1075946
환경부(한국자동차환경협회),국립부산과학관,11,DC콤보,부산광역시,기장군,부산광역시 기장군 기장읍 석산리 293,제한없음,35.20400161,129.2129866
환경부(한국자동차환경협회),국립부산과학관,12,DC콤보,부산광역시,기장군,부산광역시 기장군 기장읍 석산리 293,제한없음,35.20400161,129.2129866
환경부(한국자동차환경협회),기장군청,1,DC차데모+AC3상+DC콤보,부산광역시,기장군,부산광역시 기장군 기장읍 기장대로 560(기장대로 560),제한없음,35.24348158,129.222956
환경부(한국자동차환경협회),기장시장 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시,기장군,부산광역시 기장군 대라리 70-1,제한없음,35.24418745,129.2153461
환경부(한국자동차환경협회),기장현대드림볼파크,1,DC차데모+AC3상+DC콤보,부산광역시,기장군,부산광역시 기장군 일광면 동백리 409,제한없음,35.29641404,129.2434221
환경부(한국자동차환경협회),기장현대드림볼파크,11,DC콤보,부산광역시,기장군,부산광역시 기장군 일광면 동백리 409,제한없음,35.29641404,129.2434221
환경부(한국자동차환경협회),기장현대드림볼파크,12,DC콤보,부산광역시,기장군,부산광역시 기장군 일광면 동백리 409,제한없음,35.29641404,129.2434221
환경부(한국자동차환경협회),기장현대차드림볼파크,1,DC콤보,부산광역시,기장군,부산광역시 기장군 일광면 동백리 425-1,제한없음,35.29684837,129.2431553
환경부(한국자동차환경협회),기장현대차드림볼파크,2,DC콤보,부산광역시,기장군,부산광역시 기장군 일광면 동백리 425-1,제한없음,35.29684837,129.2431553
환경부(한국자동차환경협회),김해공항,1,DC차데모+AC3상+DC콤보,부산광역시,강서구,부산광역시 강서구 공항진입로 108,제한없음,35.17175979,128.9472783
환경부(한국자동차환경협회),김해공항,2,DC차데모+AC3상+DC콤보,부산광역시,강서구,부산광역시 강서구 공항진입로 108,제한없음,35.17175979,128.9472783
환경부(한국자동차환경협회),남산역 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시,금정구,"부산광역시 금정구 중앙대로 2030, 주차장 입구 정면(남산동 893-8)",제한없음,35.26546413,129.0927351
환경부(한국자동차환경협회),대저역 (대저차량기지) ,91,DC콤보,부산광역시,강서구,부산광역시 강서구 대저1동 1619,제한없음,35.2131315,128.9542588
환경부(한국자동차환경협회),덕천 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시,북구,부산광역시 북구 덕천동 457-1,제한없음,35.21485419,129.0068259
환경부(한국자동차환경협회),동래역 공영주차장 ,1,DC차데모+AC3상+DC콤보,부산광역시,동래구,부산광역시 동래구 중앙대로 1324,제한없음,35.20561461,129.0784802
환경부(한국자동차환경협회),동원 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시,북구,부산광역시 북구 만덕동 934,제한없음,35.21040053,129.0300939
환경부(한국자동차환경협회),롯데마트 광복점,1,DC차데모+AC3상+DC콤보,부산광역시,중구,부산광역시 중구 중앙대로2 (중앙동7가),제한없음,35.0979849,129.0366323
환경부(한국자동차환경협회),롯데마트 동래점,1,DC차데모+AC3상+DC콤보,부산광역시,동래구,부산광역시 동래구 중앙대로 1393 (온천동),제한없음,35.21170799,129.0774797
환경부(한국자동차환경협회),롯데마트 부산점,1,DC차데모+AC3상+DC콤보,부산광역시,부산진구,부산광역시 부산진구 신천대로 241,제한없음,35.16330698,129.0493159
환경부(한국자동차환경협회),롯데마트 사상점,1,DC차데모+AC3상+DC콤보,부산광역시,사상구,부산광역시 사상구 낙동대로 733 (엄궁동),제한없음,35.12759834,128.9683583
환경부(한국자동차환경협회),롯데마트 사하점,1,DC차데모+AC3상+DC콤보,부산광역시,사하구,"부산광역시 사하구 을숙도대로 610, 지상주차장 4층(장림동 1033-2)",제한없음,35.08478346,128.97231
환경부(한국자동차환경협회),롯데마트 화명점,1,DC차데모+AC3상+DC콤보,부산광역시,북구,부산광역시 북구 화명대로 47(화명동),제한없음,35.23516715,129.0130145
환경부(한국자동차환경협회),망미동 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시,수영구,부산광역시 수영구 망미동 979-73,제한없음,35.1703321,129.0968083
환경부(한국자동차환경협회),명장동 공영주차장 ,1,DC콤보,부산광역시,동래구,부산광역시 동래구 명장동 538,제한없음,35.21080805,129.0977214
환경부(한국자동차환경협회),바다별 어린이집,1,DC콤보,부산광역시,남구,부산광역시 남구 용당동 454-2,제한없음,35.12028728,129.0961206
