주소
부산광역시 강서구 낙동북로 310
부산광역시 강서구 호계로 195
부산광역시 강서구 경전철로188번길 95
부산광역시 강서구 르노삼성대로 61
부산광역시 강서구 공항로 459
부산광역시 강서구 르노삼성대로 560
부산광역시 강서구 낙동남로 507
부산광역시 강서구 체육공원로 24
부산광역시 강서구 호계로 102
부산광역시 강서구 송정동 산71-2
부산광역시 강서구 낙동북로 209
부산광역시 강서구 대저로 235
부산광역시 강서구 낙동남로 1042
부산광역시 강서구 가락대로210번길 102 
부산광역시 강서구 낙동북로 65
부산광역시 강서구 낙동북로 42
부산광역시 강서구 낙동북로 18
부산광역시 강서구 낙동북로 142
부산광역시 강서구 공항진입로 25
부산광역시 강서구 호계로 1
부산광역시 강서구 가락대로 1417
부산광역시 강서구 공항로 1423 
부산광역시 강서구 가락대로 1361
부산광역시 강서구 평강로 309
부산광역시 강서구 낙동남로 448
부산광역시 강서구 낙동남로 432 
부산광역시 강서구 생곡로 40
부산광역시 강서구 낙동남로 700
부산광역시 강서구 낙동남로 667
부산광역시 강서구 공항로 1217
부산광역시 강서구 공항로 483
부산광역시 강서구 공항로 469
부산광역시 강서구 공항로 381
부산광역시 강서구 체육공원로 66
부산광역시 강서구 가락대로 963
부산광역시 강서구 르노삼성대로 372
부산광역시 강서구 르노삼성대로 586
부산광역시 강서구 가락대로 389
부산광역시 강서구 르노삼성대로 572
부산광역시 강서구 낙동북로 364
부산광역시 강서구 공항로 799 
부산광역시 강서구 낙동남로 127
부산광역시 강서구 녹산산업북로 119
부산광역시 강서구 르노삼성대로 604
부산광역시 강서구 거가대로 2571
부산광역시 강서구 가락대로1243번길 68
부산광역시 강서구 신항남로 507 
부산광역시 강서구 낙동남로 501
부산광역시 강서구 호계로 200
부산광역시 강서구 가락대로 1027
기장읍 서부리 429
일광면 삼성리 25
정관읍 예림리 384-1
장안읍 좌천리 436-7
정관읍 모전리 17
정관읍 예림리 384-14
정관읍 예림리 384-9
일광면 삼성리 512-5
장안읍 기룡리 237
장안읍 길천리 50-3
장안읍 용소리 244-5
장안읍 기룡리 480-3
장안읍 장안리 산78-1
장안읍 명례리 산31-1
기장읍 청강리 226-8
장안읍 좌동리 268-1
기장읍 연화리 380-1
기장읍 교리 361-8
일광면 원리 81-7
장안읍 좌동리 269-1
일광면 원리 100-2
일광면 삼성리 542-2
장안읍 좌동리 69-1
장안읍 좌동리 77-2
정관읍 예림리 329-12
일광면 화전리 90-7
정관읍 예림리 1018-1
정관읍 예림리 1020-1
장안읍 좌동리 278
정관읍 예림리 851
장안읍 좌천리 503-1
기장읍 청강리 539
기장읍 만화리 333-3
철마면 고촌리 522
장안읍 명례리 779-8
기장읍 청강리 12
기장읍 내리 307-8
일광면 화전리 39-2
철마면 안평리 43-4
일광면 문동리 235-1
기장읍 연화리 224-1
기장읍 대라리 139-13
기장읍 서부리 386
정관읍 예림리 847-2
일광면 원리 171-8
정관읍 방곡리 274-8
부산광역시 남구 북항로 108 (감만동)
부산광역시 남구 신선로 316 (용당동)
부산광역시 남구 신선로 261 (용당동)
부산광역시 남구 신선로 168 (감만동)
부산광역시 남구 전포대로 75 (문현동)
부산광역시 남구 신선로 392 (용당동)
부산광역시 남구 신선로 252 (용당동)
"부산광역시 남구 용호로 60 (용호동,외 1필지(209-1))"
부산광역시 남구 유엔로 42 (우암동)
부산광역시 남구 우암로 374 (문현동)
부산광역시 남구 황령대로 346 (대연동)
부산광역시 남구 신선로 351 (용당동)
부산광역시 남구 유엔로 155 (대연동)
부산광역시 남구 황령대로 343 (대연동)
부산광역시 남구 황령대로 401-2 (대연동)
부산광역시 남구 유엔로 202 (대연동)
부산광역시 남구 유엔로 138 (대연동)
부산광역시 남구 신선로 442 (용당동)
부산광역시 남구 신선로 448 (용당동)
부산광역시 남구 용호로 172 (용호동)
"부산광역시 남구 문현로 67 (문현동,외 1필지(101-8))"
부산광역시 남구 용호로 116 (용호동)
"부산광역시 남구 신선로 173 (감만동,외 1필지(254-76))"
부산광역시 남구 유엔로 235 (대연동)
부산광역시 남구 신선로 387 (용당동)
부산광역시 남구 우암로 204 (우암동)
부산광역시 남구 수영로 288 (대연동)
부산광역시 남구 우암로 232 (우암동)
부산광역시 남구 우암로 92 (감만동)
부산광역시 남구 전포대로 7 (문현동)
"부산광역시 남구 석포로 134 (대연동,외 2필지(949-12,949-18))"
부산광역시 남구 수영로 22 (문현동)
부산광역시 북구 사상로 619
부산광역시 북구 만덕대로 170
부산광역시 북구 금곡대로 692
부산광역시 북구 금곡대로 37
부산광역시 북구 금곡대로 362
부산광역시 북구 금곡대로 604
부산광역시 북구 만덕대로 327
부산광역시 북구 덕천로 275
부산광역시 북구 백양대로 995
부산광역시 북구 시랑로 58
부산광역시 북구 의성로53번길 5
부산광역시 북구 금곡대로 113
부산광역시 북구 의성로 20
부산광역시 북구 덕천로 179
부산광역시 북구 낙동대로 1642
부산광역시 북구 만덕대로 343
부산광역시 북구 금곡대로 712
부산광역시 북구 금곡대로 203
부산광역시 사하구 감천로 79(감천동)
부산광역시 사하구 장림로 287(장림동)
부산광역시 사하구 하신중앙로 166(신평동)
부산광역시 사하구 사하로 129(괴정동)
부산광역시 사하구 장림번영로 7(장림동)
부산광역시 사하구 낙동대로 169(괴정동)
부산광역시 사하구 다대로 292(장림동)
부산광역시 사하구 을숙도대로 730(구평동)
부산광역시 사하구 을숙도대로 712(장림동)
부산광역시 사하구 다대로 280(장림동)
부산광역시 사하구 다대로 575(다대동)
부산광역시 사하구 다대로 581(다대동)
부산광역시 사하구 하신중앙로 165(신평동)
부산광역시 사하구 사하로 150(괴정동)
부산광역시 사하구 하신중앙로 240(하단동)
부산광역시 사하구 을숙도대로 530(신평동)
부산광역시 사하구 다대로 377(장림동)
부산광역시 사하구 낙동대로 339(괴정동)
부산광역시 사하구 감천항로 64(구평동)
부산광역시 사하구 을숙도대로 821(구평동)
부산광역시 사하구 을숙도대로 583(신평동)
부산광역시 사하구 장평로 152(장림동)
부산광역시 사하구 서포로 61(구평동)
부산광역시 사하구 하신중앙로 55(신평동)
부산광역시 사하구 낙동대로 112(괴정동)
부산광역시 사하구 감천항로 20(감천동)
부산광역시 사하구 낙동대로 312(괴정동)
부산광역시 사하구 장평로 177(장림동)
부산광역시 사하구 감천항로 227(구평동)
부산광역시 사하구 을숙도대로 583(신평동)
부산광역시 사하구 감천항로 445(구평동)
부산광역시 사하구 을숙도대로 564(신평동)
부산광역시 수영구 민락본동로 30 (민락동)
부산광역시 수영구 연수로 250 (망미동)
부산광역시 수영구 좌수영로 151 (망미동)
부산광역시 수영구 좌수영로 147 (망미동)
부산광역시 수영구 과정로 23 (망미동)
부산광역시 수영구 광남로 176 (민락동)
부산광역시 수영구 광남로 83 (광안동)
부산광역시 수영구 과정로 4 (망미동)
부산광역시 수영구 연수로 239 (망미동)
부산광역시 수영구 광남로 241 (민락동)
부산광역시 수영구 광일로 8 (광안동)
부산광역시 수영구 연수로 254 (망미동)
부산광역시 수영구 수영로 491 (남천동)
부산광역시 수영구 연수로 411 (수영동)
부산광역시 수영구 수영로 558 (광안동)
부산광역시 수영구 수영로 731 (수영동)
부산광역시 영도구 남항서로 96
부산광역시 영도구 남항서로 116
부산광역시 영도구 태종로 806-1
부산광역시 영도구 태종로 376
부산광역시 영도구 태종로 290
부산광역시 영도구 태종로 373
 부산광역시 영도구 태종로 782 
부산광역시 영도구 영선대로 63
부산광역시 영도구 해양로 128
부산광역시 영도구 남항서로 96
부산광역시 영도구 남항서로 116
부산광역시 영도구 태종로 806-1
부산광역시 해운대구 해운대로 1217 (송정동)
부산광역시 해운대구 수영강변대로 276 (재송동)
부산광역시 해운대구 좌동로 18 (중동)
"부산광역시 해운대구 양운로 107, SC(주)장산IC주유소 (좌동)"
"부산광역시 해운대구 좌동로 34 (중동,외1필지(305-1))"
"부산광역시 해운대구 반송로 936, 행복가득셀프주유소 (반송동)"
부산광역시 해운대구 반송로 780 (석대동)
"부산광역시 해운대구 해운대로 551, 조은하루 주유소 (우동)"
부산광역시 해운대구 해운대로 1088 (송정동)
부산광역시 해운대구 반송로 782 (석대동)
부산광역시 해운대구 수영강변대로 462 (반여동)
부산광역시 해운대구 해운대로 1249 (송정동)
부산광역시 해운대구 석대천로 198 (반송동)
부산광역시 해운대구 반송로 781 (석대동)
부산광역시 해운대구 좌동순환로 419 (주)이엠석유대흥주유소 (중동)
부산광역시 해운대구 수영강변대로 504 (반여동)
"부산광역시 해운대구 수영강변대로 568, 광신석유(주)직영 수영강변대로주유소 (반여동)"
"부산광역시 해운대구 수영강변대로 590 (반여동,외1필지(735-60))"
부산광역시 해운대구 대천로 82 (중동)
"부산광역시 해운대구 해운대로573번길 16, SK에너지(주)돌고래주유소 (우동)"
부산광역시 해운대구 달맞이길 57 (중동)
"부산광역시 해운대구 해운대로 285 (우동,외1필지(1229-16))"
"부산광역시 해운대구 해운대로 615 (우동,외1필지(530-9))"
"부산광역시 해운대구 반송로 875, 동부산주유소 (반송동)"
"부산광역시 해운대구 해운대로 415 (우동,외1필지(1058-1))"
"부산광역시 해운대구 해운대로 1184 (송정동,외1필지(105-11))"
부산광역시 해운대구 해운대로 1178 (송정동)
부산광역시 해운대구 해운대로 1238 (송정동)
부산광역시 해운대구 좌동순환로 375 (중동)
부산광역시 해운대구 반여로 153 (반여동)
부산광역시 해운대구 재반로 163 (재송동)
"부산광역시 해운대구 해운대로 1226 (송정동,외3필지(86-13,14,15))"
부산광역시 해운대구 해운대해변로 44 (우동)
부산광역시 해운대구 해운대로 345 (우동)
"부산광역시 해운대구 해운대로 211 (재송동,외4필지(652-6,652-8,660-14,660-15))"
"부산광역시 해운대구 해운대로 592, 해변주유소 (우동)"
부산광역시 해운대구 반송로 910 (반송동)
